"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Starbelly","False","True","5","Really yummy food! My favorites were the elote pizza, cornbread, starbelly salad, and french toast. Only wish their portion sizes were a little bigger because family style was not enough food for everyone!","2022-06-12 23:20:37.942024+00:00"
"Wooden Coffeehouse","False","True","4","They serve Ritual coffee, so really good quality, but I wish the mocha was sweeter! 😁 Just my preference. The vibe is really cozy. They have these old VHS tapes of classic movies, but they’ve redecorated the covers to add coffee puns into the movie titles.","2022-05-26 21:45:42.504418+00:00"
"Hội An 1608","False","True","4","Lots of vegetarian options! I had the vegan pho and it was pretty good, could have been a bit more flavorful. The portion sizes were huge so definitely worth the price. I would come back to try the veggie bowl.","2022-07-31 05:24:37.581688+00:00"
"Hot Cookie","False","True","5","The cookies are huge and so delicious! They accidentally broke a snickerdoodle they had just made and gave it to us for free. Also the names of the cookies were hilarious (definitely had a theme going on).","2022-07-31 05:26:26.910259+00:00"
"Wildseed","False","True","4","We got the mexican corn cakes, green forest flatbread, neatball masala bowl, and vanilla coconut panna cotta. All the dishes were really good (especially the neatball masala which tasted like malai kofta), and I want to come back to try other dishes. Giving it 4 stars though because it was super expensive!","2022-07-05 20:37:26.383223+00:00"
"Chaat House","False","True","5","I went here a lot growing up, but recently they really impressed me with the food! Really liked how many vegetables they added to the navrathan korma, and the house thali never disappoints.","2022-06-06 16:47:36.482722+00:00"
"Gracias Madre","False","True","4","Food was decent, but gave it 4 stars because it’s very overpriced. Really liked the elote and almond milk horchata, but the jackfruit tacos were not that good.","2022-07-01 21:48:53.284225+00:00"
"Sestina","False","True","5","I feel like they don’t advertise it well, but this place is all vegan italian food. The elbows in vodka sauce was SO good—we both wished there was more left. I also really liked the tie dye pizza, and the crust was somehow thin and soft.","2022-06-20 16:09:10.850162+00:00"
"Farmhouse Kitchen","False","True","5","The yellow curry is SO good—we honestly would have been down to just drink it up in a cup 😋 It was a bit frustrating to not have many vegetarian options, but the food quality made up for it.","2022-06-17 05:56:22.019420+00:00"
"Rasa Rasa","False","True","3","The menu definitely mentioned a few vegan items, but I’d say this food truck isn’t great for vegetarians. I got the gado gado, which was a mix of vegetables, tofu, and peanut sauce. Unfortunately, it wasn’t very filling and the tofu was pretty bland.","2022-04-28 16:58:25.614567+00:00"
"Blue Line Pizza","False","True","5","I’m no expert on deep dish pizza, but I think theirs is excellent. Normally deep dish is so filling and hard to finish, but the individual size pizza is actually perfect for one person. The shishito peppers with their sauce is surprisingly good too. Also, very unhealthy, but life hack is to eat the crust with honey (they keep bottles on hand) 😋","2022-06-06 16:54:02.378115+00:00"
"West of Pecos","False","True","4","Got the smothered breakfast burrito and it was decent! Don’t think I’m dying to come back here for it though. I’ve heard the puffy tacos are supposed to be good here so maybe just need to try that.","2022-07-24 00:55:40.900433+00:00"
"Wooden Spoon","True","False","","",""
"Nopa","True","False","","",""
"Beit Rima","True","False","","",""
"Cafe International","True","False","","",""
"Vive La Tarte","True","False","","",""
"VeganBurg","True","False","","",""
"Kitchen Story","True","False","","",""
